公司代號,投資公司名稱,投資公司英文全稱,英文簡稱,境外投資公司名稱,境外子公司名稱,地區別代號,FACILITY_NAME,ICIS_FACILITY_ID,NPDES_ID,資料來源,匹配分數,匹配英文名稱,匹配英文名稱類型,NPDES_VIOLATION_ID,VIOLATION_TYPE_CODE,VIOLATION_CODE,VIOLATION_DESC,SINGLE_EVENT_VIOLATION_DATE,SINGLE_EVENT_END_DATE,SINGLE_EVENT_VIOLATION_COMMENT,SINGLE_EVENT_AGENCY_TYPE_CODE,RNC_DETECTION_CODE,RNC_DETECTION_DESC,RNC_DETECTION_DATE,RNC_RESOLUTION_CODE,RNC_RESOLUTION_DESC,RNC_RESOLUTION_DATE,VIOLATION_TYPE,VIOLATION_TYPE_DESC,COMP_SCHEDULE_EVENT_ID,COMP_SCHEDULE_NMBR,SCHEDULE_EVENT_CODE,SCHEDULE_EVENT_DESC,SCHEDULE_DATE,ACTUAL_DATE,REPORT_RECEIVED_DATE,PERM_SCHEDULE_EVENT_ID,VERSION_NMBR,ACTIVITY_ID,PERM_FEATURE_NMBR,PERMIT_ACTIVITY_ID,LIMIT_SET_DESIGNATOR,MONITORING_LOCATION_CODE,DMR_FORM_VALUE_ID,DMR_VALUE_NMBR,DMR_VALUE_ID,DMR_PARAMETER_ID,NODI_CODE,ADJUSTED_DMR_VALUE_NMBR,LIMIT_VALUE_STANDARD_UNITS,PARAMETER_CODE,PARAMETER_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,MONITORING_PERIOD_END_DATE,NMBR_OF_REPORT,EXCEEDENCE_PCT,VALUE_QUALIFIER_CODE,UNIT_CODE,VALUE_RECEIVED_DATE,DAYS_LATE,ADJUSTED_DMR_STANDARD_UNITS,LIMIT_ID,DMR_VALUE_STANDARD_UNITS,VALUE_TYPE_CODE,STATISTICAL_BASE_CODE,STATISTICAL_BASE_MONTHLY_AVG,STATISTICAL_BASE_SHORT_DESC
1216,統一企業股份有限公司,UNI-PRESIDENT ENTERPRISES CORP.,UNI-PRESIDENT,President Global Corp.,"Ameripec, Inc.",211--美國,AMERIPEC INC,3600726609,CAZ288896,境外子公司匹配,100,AMERIPEC,境外子公司名稱,3643141554.0,S,E0N16,WW Storm Water Non-Construction - Failure to submit required report (non-DMR),07/16/2019,07/16/2019,Failure to submit 2018 - 2019 Annual Report by due date,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,統一企業股份有限公司,UNI-PRESIDENT ENTERPRISES CORP.,UNI-PRESIDENT,President Global Corp.,"Ameripec, Inc.",211--美國,AMERIPEC INC,3600726609,CAZ288896,境外子公司匹配,100,AMERIPEC,境外子公司名稱,3671030843.0,S,E0N16,WW Storm Water Non-Construction - Failure to submit required report (non-DMR),07/16/2023,,Failure to submit 2022 - 2023 Annual Report by due date,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,佳格食品股份有限公司,STANDARD FOODS CORPORATION,SFC,佳格食品股份有限公司,"Standard Foods, LLC.",211--美國,STANDARD FOODS INC,2400023034,KYR000460,境外子公司匹配,100,STANDARD FOODS,境外子公司名稱,3402752434.0,S,D0017,Permit Violations - Violation Specified in Comment,02/20/2012,02/20/2012,,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,佳格食品股份有限公司,STANDARD FOODS CORPORATION,SFC,佳格食品股份有限公司,"Standard Foods, LLC.",211--美國,STANDARD FOODS INC,2400023034,KYR000460,境外子公司匹配,100,STANDARD FOODS,境外子公司名稱,3402752435.0,S,C0N11,WW Storm Water Non-Construction - Failure to Monitor,02/20/2012,02/20/2012,,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,佳格食品股份有限公司,STANDARD FOODS CORPORATION,SFC,佳格食品股份有限公司,"Standard Foods, LLC.",211--美國,STANDARD FOODS INC,2400023034,KYR000460,境外子公司匹配,100,STANDARD FOODS,境外子公司名稱,3402752439.0,S,B0N18,WW Storm Water Non-Construction - Failure to Implement SWPPP/SWMP,02/20/2012,02/20/2012,,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,佳格食品股份有限公司,STANDARD FOODS CORPORATION,SFC,佳格食品股份有限公司,"Standard Foods, LLC.",211--美國,STANDARD FOODS INC,2400023034,KYR000460,境外子公司匹配,100,STANDARD FOODS,境外子公司名稱,3402752436.0,S,B0N41,WW Storm Water Non-Construction - Failure to Maintain Records,02/20/2012,02/20/2012,,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,佳格食品股份有限公司,STANDARD FOODS CORPORATION,SFC,佳格食品股份有限公司,"Standard Foods, LLC.",211--美國,STANDARD FOODS INC,2400023034,KYR000460,境外子公司匹配,100,STANDARD FOODS,境外子公司名稱,3402752440.0,S,B0N17,WW Storm Water Non-Construction - Failure to develop any or adequate SWPPP/SWMP,02/20/2012,02/20/2012,,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3677247042.0,S,B0020,Management Practice Violations - Improper Operation and Maintenance,01/09/2024,,,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3667118017.0,S,C0017,Monitoring Violations - Analysis not Conducted,07/20/2022,07/21/2022,,ST6,,,,,,,SE,Single Event Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3677259889.0,P,C20,Schedule Event achieved late but reported,,,,,,,,,,,PS,Permit Schedule Violations,,,CS017,Achieve Final Compliance With Emission or Discharge Limits,06/01/2023,06/26/2023,06/26/2023,3601095329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
